OA,Households_occupied_by_a_lone_parent_and_children,Persons_who_report_poor_health_Limiting_long-term_illness,Employed_persons_aged_ between_16_and_74_who_work_in_the_mining/quarrying/construction_industries,Person_aged_90_and_over,Persons_living_in_a_communal_establishment,Households_who_have_one_fewer_or_less_rooms_than_required,Persons_whose_main_language_is_not_English_and_they_cannot_speak_English_well_or_at all
E00057546,5.309734513,12.71,11.65,0.85,0.00,0.88,0.42
E00057547,6.557377049,4.55,6.67,0.38,0.00,1.64,0.38
E00057548,2.631578947,12.79,9.63,2.33,7.36,2.63,0.00
E00057549,8.26446281,4.76,8.90,0.00,0.00,2.48,0.37
E00057550,10,3.19,10.06,0.00,0.00,2.86,0.00
E00057551,1.652892562,8.11,12.93,0.00,0.00,2.48,0.68
E00057552,3.225806452,2.78,6.94,0.00,0.00,2.42,0.00
E00057553,3.2,10.65,8.96,1.03,0.00,0.80,0.00
E00057554,8.396946565,3.12,9.84,0.00,0.00,1.53,0.31
E00057555,2.542372881,13.58,16.49,0.41,0.00,0.00,0.00
E00057556,1.818181818,11.42,12.50,1.37,0.00,1.82,0.00
E00057557,2.43902439,7.29,7.64,0.35,0.00,0.81,0.00
E00057558,0,14.29,7.23,0.00,0.00,1.55,0.40
E00057559,5.882352941,3.89,8.89,0.28,0.00,1.96,0.56
E00057560,1.538461538,4.70,16.05,0.00,0.00,2.31,0.00
E00057561,9.230769231,9.06,13.14,1.09,0.00,1.54,0.72
E00057562,8.823529412,9.22,16.18,1.37,0.00,2.21,0.34
E00057563,1.851851852,8.23,9.18,0.00,0.00,1.85,0.43
E00057564,15.26717557,8.10,9.45,0.00,0.00,8.40,5.92
E00057565,14.28571429,9.03,9.28,0.00,0.00,13.19,4.69
E00057566,3.2,7.67,12.00,0.92,1.23,3.20,3.37
E00057567,9.016393443,4.70,2.70,0.19,0.00,19.67,14.10
E00057568,3.225806452,9.32,2.58,0.41,0.00,19.35,14.49
E00057570,12.68656716,9.79,4.64,0.00,0.00,17.91,12.43
E00057571,13.70967742,4.46,3.31,0.00,0.00,20.97,10.71
E00057573,23.38709677,10.48,8.60,0.32,0.00,16.94,2.86
E00057574,17.1875,7.44,2.52,0.00,0.00,18.75,10.03
E00057575,14.15929204,3.87,2.59,0.00,0.00,23.89,15.14
E00057576,9.345794393,12.76,1.19,0.51,5.61,14.02,9.18
E00057577,8.391608392,6.29,3.85,0.00,0.00,20.98,15.62
E00057578,6.923076923,11.78,11.76,0.67,0.00,2.31,0.67
E00057579,7.75862069,3.97,6.92,0.53,0.00,8.62,3.97
E00057580,6.976744186,6.20,9.09,0.00,0.00,6.98,5.43
E00057581,12.30769231,6.92,3.33,0.00,0.00,25.38,12.17
E00057582,12.72727273,9.49,11.11,0.00,0.00,5.45,4.11
E00057583,3.921568627,4.58,1.67,0.00,0.00,12.75,13.49
E00057584,14.84375,9.54,8.70,0.00,0.00,6.25,3.00
E00057585,29.62962963,8.72,3.33,0.00,0.00,9.26,3.43
E00057586,8.333333333,6.51,1.30,0.33,1.30,17.71,14.98
E00057587,22.52252252,8.39,9.09,0.62,0.00,18.92,6.83
E00057589,11.51515152,6.31,2.53,0.17,0.00,15.76,14.16
E00057590,7.070707071,4.93,1.83,0.00,0.00,32.32,18.72
E00057591,12.5,6.87,6.31,0.27,0.00,20.83,10.71
E00057592,29.03225806,5.49,5.34,0.00,0.00,11.61,4.01
E00057593,13.2231405,7.33,2.91,0.00,0.00,16.53,13.49
E00057594,25,8.03,9.17,0.00,0.00,18.10,4.43
E00057595,10.23622047,4.44,3.62,0.00,0.00,15.75,15.67
E00057596,11.65048544,4.27,2.63,0.00,0.00,29.13,13.17
E00057597,14.14141414,9.72,4.03,0.20,1.39,21.21,8.53
E00057598,10.52631579,12.33,6.92,0.91,0.23,21.58,12.33
E00057599,8.421052632,5.97,2.50,0.30,0.00,30.53,14.63
E00057600,12.17391304,9.86,3.06,0.00,0.00,13.04,4.93
E00057601,6.106870229,10.81,2.65,0.00,0.00,19.85,13.81
E00057602,8.653846154,5.34,5.13,0.00,0.00,15.38,13.46
E00057603,16.39344262,3.48,2.86,0.32,3.48,11.48,7.28
E00057604,14.03508772,12.99,2.44,0.00,0.00,17.54,4.33
E00057605,11.40350877,7.14,1.09,0.34,0.00,19.30,10.54
E00057606,12.90322581,14.47,12.20,1.28,0.00,19.35,5.96
E00057607,25.78616352,8.11,4.13,0.00,0.00,17.61,5.41
E00057608,11.65048544,8.20,3.77,0.00,0.00,18.45,16.40
E00057609,12.5,3.77,4.88,0.00,0.00,10.42,6.79
E00057610,15.70247934,5.49,4.21,0.00,0.00,14.88,4.22
E00057611,16.66666667,4.63,4.30,0.39,0.00,30.70,10.81
E00057612,23.52941176,7.17,7.08,0.31,0.00,15.44,9.35
E00057613,17.07317073,3.97,5.75,0.00,0.00,15.45,9.39
E00057614,15.58441558,6.64,5.26,0.35,0.00,11.69,6.64
E00057615,23.1292517,5.76,6.35,0.52,0.00,14.29,4.97
E00057616,16.66666667,3.49,4.96,0.00,0.00,19.44,8.25
E00057617,11.96581197,6.75,8.55,0.00,0.00,15.38,4.76
E00057618,18.6440678,6.42,4.44,0.00,0.00,19.49,7.92
E00057619,2.75862069,14.24,6.02,2.08,0.00,13.79,3.47
E00057620,8.888888889,5.26,13.33,0.55,0.00,5.93,1.94
E00057621,12.75167785,12.06,11.66,0.54,0.00,14.09,1.88
E00057622,6.666666667,5.02,6.94,0.00,0.00,2.86,2.68
E00057623,12.17391304,14.24,8.40,0.33,0.00,4.35,3.97
E00057624,7.619047619,10.55,7.02,0.00,0.00,1.90,3.38
E00057625,5.882352941,9.47,6.94,1.18,1.18,2.21,0.59
E00057626,6.504065041,6.76,6.67,0.34,3.72,16.26,5.74
E00057627,8.411214953,9.35,5.41,0.81,0.00,6.54,1.22
E00057628,0.763358779,0.92,2.80,0.00,0.00,36.64,0.31
E00057629,6.722689076,3.28,0.85,0.00,0.98,25.21,1.31
E00057630,2.702702703,2.94,1.85,0.00,19.08,29.73,4.19
E00057631,14.28571429,6.94,3.03,0.00,0.00,13.19,7.29
E00057632,10.18518519,4.44,2.91,0.32,0.00,16.67,2.86
E00057633,3.191489362,4.89,1.09,0.00,0.00,9.57,4.89
E00057634,1.418439716,1.46,4.37,0.00,0.00,4.26,5.56
E00057635,0,5.11,0.63,0.00,0.00,17.50,0.00
E00057637,0.826446281,1.37,0.99,0.23,0.00,15.70,0.23
E00057638,0,3.17,1.44,1.15,0.00,28.85,0.29
E00057639,0,9.19,2.35,2.91,8.30,44.31,0.45
E00057641,1.449275362,0.71,1.24,0.35,3.19,21.01,1.06
E00057642,2.659574468,4.53,2.92,0.00,6.92,36.17,0.48
E00057643,5.263157895,1.67,1.60,0.00,0.56,22.56,0.28
E00057645,1.379310345,4.14,2.72,0.41,0.00,27.59,0.00
E00057646,0,2.88,3.23,0.32,0.64,13.33,2.24
E00057647,0,1.90,3.74,0.00,0.00,42.71,0.76
E00057648,0.704225352,0.66,1.12,0.00,0.00,21.13,0.66
E00057649,2.564102564,2.69,3.90,0.00,0.00,17.95,2.91
E00057650,2.702702703,2.76,0.00,0.00,0.00,23.65,2.57
E00057651,1.020408163,1.73,0.70,0.00,0.00,11.22,3.70
E00057652,0,0.50,0.00,0.00,0.00,20.00,0.25
E00057653,0,2.24,4.88,0.00,0.00,13.40,3.53
E00057654,0.81300813,1.96,2.43,0.00,0.00,13.01,0.24
E00057655,1.769911504,3.56,0.59,0.00,0.00,3.54,2.74
E00057656,0,3.85,0.00,0.00,0.00,67.35,6.73
E00057657,3.773584906,1.93,1.74,0.28,0.00,33.02,0.83
E00057658,2.727272727,3.07,2.82,0.51,0.00,10.00,2.05
E00057659,2.857142857,0.84,2.31,0.00,0.00,16.19,2.53
E00057660,2.222222222,1.61,0.00,0.81,0.00,40.00,1.61
E00057661,0.877192982,2.32,1.32,0.18,0.00,17.54,2.68
E00057662,2.564102564,1.10,0.76,0.00,0.00,22.22,0.82
E00057663,0,1.88,0.63,0.00,0.00,9.09,1.88
E00057664,7.446808511,1.20,2.08,0.00,0.00,29.79,0.30
E00057665,1.111111111,1.36,1.63,0.00,0.00,10.00,2.38
E00057666,4.347826087,3.41,1.27,0.00,0.00,15.22,0.34
E00057667,5.479452055,18.45,3.64,5.36,10.71,17.81,4.17
E00057668,9.85915493,12.24,1.47,0.51,6.12,14.08,4.59
E00057669,1.503759398,2.38,2.65,0.00,0.00,12.78,2.04
E00057670,8.235294118,3.94,2.99,0.00,0.00,18.82,2.46
E00057671,11.26760563,10.56,4.71,1.11,0.00,2.82,1.11
E00057672,6.779661017,10.39,3.23,0.00,0.00,5.93,1.73
E00057673,1.840490798,4.07,3.86,0.27,1.90,7.98,0.00
E00057674,2.02020202,6.49,0.00,1.08,0.00,20.20,0.54
E00057675,16.85393258,16.59,8.79,0.45,0.00,10.11,2.69
E00057676,11.53846154,17.60,5.13,0.40,0.00,15.38,1.60
E00057679,0,1.33,0.88,0.00,0.00,4.23,0.00
E00057680,1.075268817,18.30,4.00,3.13,36.61,18.28,2.23
E00057681,2.702702703,9.54,3.51,2.17,7.16,16.22,0.43
E00057682,0.8,0.23,2.71,0.00,0.00,16.00,0.00
E00057683,1.298701299,5.64,2.29,0.00,0.00,12.99,0.00
E00057684,0,5.06,4.65,0.00,0.00,8.89,0.56
E00057685,0,8.62,1.19,1.72,0.57,17.17,0.00
E00057686,0.961538462,0.21,1.57,0.00,0.00,14.42,0.00
E00057687,2.5,1.02,1.92,0.00,0.00,12.50,1.53
E00057689,0,2.65,1.80,0.22,0.00,8.00,0.66
E00057690,0.833333333,1.28,5.68,0.00,0.51,22.50,0.26
E00057691,0,3.26,1.29,0.33,0.00,20.54,0.33
E00057692,1.652892562,1.71,2.31,0.00,0.00,32.23,0.29
E00057693,0,5.04,1.83,0.42,0.00,16.33,0.00
E00057695,1.282051282,2.23,0.00,0.00,0.00,12.82,0.37
E00057696,0,5.12,3.64,1.40,2.33,17.17,0.93
E00057697,5.263157895,2.75,2.67,0.39,0.00,30.70,0.00
E00057698,1.666666667,3.88,1.65,0.60,0.00,3.33,0.30
E00057699,0,5.16,1.01,0.00,0.00,32.61,0.79
E00057700,1.052631579,1.52,0.00,0.00,0.00,21.05,1.52
E00057701,0,4.72,2.90,0.39,0.00,44.44,0.00
E00057702,1.739130435,3.58,0.00,0.30,12.84,22.61,1.79
E00057703,0.729927007,1.73,2.17,0.00,0.00,27.01,0.65
E00057704,0,3.00,0.00,0.00,0.00,25.00,0.00
E00057705,1.298701299,12.79,4.09,2.03,3.49,2.60,0.29
E00057706,3.409090909,1.79,5.11,0.30,31.34,4.55,2.39
E00057707,4.901960784,10.69,6.92,0.76,6.87,1.96,0.00
E00057708,1.886792453,3.09,6.54,0.00,0.00,0.94,0.00
E00057709,4.255319149,3.90,7.87,0.00,0.00,0.71,0.00
E00057710,2.962962963,4.97,5.96,1.24,0.00,0.00,0.00
E00057711,1.418439716,3.51,11.30,0.29,0.00,2.13,0.00
E00057712,3.496503497,6.74,8.33,0.56,0.00,2.10,0.00
E00057713,2.608695652,3.37,12.20,0.34,0.00,1.74,0.00
E00057714,11.01694915,7.20,8.72,0.80,0.00,2.54,0.00
E00057715,1.769911504,4.53,7.50,0.00,0.00,0.88,0.00
E00057716,4.895104895,4.61,8.89,0.81,0.00,0.70,0.00
E00057717,7.575757576,9.97,7.43,0.34,0.00,6.82,0.34
E00057718,12.76595745,5.67,2.99,0.00,0.00,4.26,0.60
E00057719,3.03030303,4.55,5.88,0.65,0.00,0.76,0.00
E00057720,4.201680672,10.64,4.46,1.28,0.00,3.36,0.43
E00057721,5.633802817,4.38,3.85,0.34,0.00,2.82,0.00
E00057722,2.941176471,3.88,7.14,0.60,0.00,1.47,0.00
E00057723,2.45398773,3.46,3.24,0.00,0.00,8.59,0.00
E00057724,2.962962963,2.77,2.67,0.00,0.00,1.48,0.00
E00057725,0.793650794,6.21,13.67,0.69,0.00,2.38,0.34
E00057727,2.985074627,4.02,8.24,0.00,0.00,1.49,0.86
E00057728,3.389830508,5.82,6.08,1.09,0.00,5.93,0.73
E00057729,4.918032787,4.03,7.84,0.37,0.00,1.64,0.00
E00057730,3.157894737,1.24,9.86,0.00,0.00,0.00,0.83
E00057731,3.623188406,6.09,7.37,0.29,0.00,0.00,0.58
E00057732,1.694915254,5.19,2.19,0.99,0.00,3.39,0.00
E00057733,3.125,4.60,5.00,0.57,0.00,1.56,0.00
E00057734,3.571428571,8.61,5.92,0.30,2.37,1.43,0.30
E00057735,2.234636872,4.86,5.95,0.51,0.00,16.76,0.51
E00057736,5.64516129,6.83,8.33,2.41,0.00,3.23,0.00
E00057737,9.322033898,5.26,6.90,0.66,0.00,0.85,0.33
E00057738,1.408450704,2.60,3.57,0.74,39.59,2.82,0.37
E00057739,1.418439716,3.99,7.03,1.33,0.00,9.22,0.33
E00057740,0.71942446,4.84,7.63,0.00,0.00,7.19,0.00
E00057741,2.586206897,3.10,5.66,0.00,0.00,0.86,0.00
E00057742,3.076923077,3.57,6.25,0.00,0.00,2.31,0.00
E00057743,3.636363636,8.62,7.59,2.16,0.00,0.00,0.43
E00057744,8,4.51,3.03,0.35,0.00,3.20,0.69
E00057745,4.310344828,5.62,4.35,0.75,0.00,1.72,0.37
E00057746,15.65217391,11.07,7.69,0.41,0.00,12.17,0.82
E00057747,3.597122302,4.35,2.25,0.40,0.00,4.32,0.00
E00057748,9.448818898,7.72,7.53,0.96,0.00,3.15,0.64
E00057749,6.315789474,4.37,5.74,0.00,0.00,1.05,0.00
E00057750,3.649635036,1.66,9.09,0.28,0.00,1.46,0.00
E00057751,1.834862385,5.49,7.92,1.27,0.00,0.00,0.00
E00057752,7.8125,10.23,8.33,0.76,0.00,7.03,0.76
E00057753,5.454545455,8.64,8.26,0.41,0.00,3.64,0.00
E00057754,8.130081301,4.21,6.67,0.00,0.00,3.25,0.38
E00057755,1.369863014,18.24,5.00,8.47,9.45,12.33,0.33
E00057756,7.575757576,2.55,6.29,0.36,0.00,2.27,0.36
E00057757,3.937007874,11.06,6.47,1.33,0.00,2.36,0.44
E00057758,11.34751773,11.34,6.17,0.58,0.00,7.09,1.74
E00057759,4.237288136,10.45,3.01,2.27,3.18,9.32,0.00
E00057760,8.396946565,19.11,6.82,1.63,0.00,6.87,0.81
E00057761,3.816793893,4.53,9.38,0.38,0.00,3.05,0.00
E00057762,7.75862069,8.01,7.51,0.64,0.00,4.31,0.32
E00057763,0.657894737,11.54,5.06,3.53,8.01,6.58,0.32
E00057764,4.379562044,7.06,5.42,0.00,0.00,0.73,0.00
E00057765,2.666666667,5.73,5.29,0.32,0.00,7.33,1.27
E00057766,3.937007874,4.23,8.07,0.00,0.00,4.72,0.38
E00057767,3.333333333,7.82,5.84,1.65,0.00,0.83,0.00
E00057768,8.461538462,11.71,8.45,0.67,0.00,6.15,1.34
E00057769,7.228915663,5.28,6.76,0.26,0.00,6.02,0.26
E00057770,6.4,11.57,8.51,0.75,0.00,4.00,0.00
E00057771,2.380952381,0.41,3.89,0.41,0.00,0.79,1.22
E00057772,7.746478873,18.22,7.04,1.87,0.00,7.75,0.00
E00057773,6.299212598,4.07,3.55,0.37,0.00,1.57,0.00
E00057774,1.123595506,4.29,5.66,1.29,0.00,1.12,0.00
E00057775,1.550387597,9.81,6.62,0.00,0.00,10.08,0.00
E00057776,11.45038168,15.02,11.11,0.00,0.00,6.87,0.73
E00057777,7.80141844,16.67,10.11,2.71,0.00,8.51,1.16
E00057778,11.40350877,10.94,8.65,0.38,0.00,10.53,0.38
E00057779,23.7704918,5.97,8.74,0.00,0.00,13.93,1.89
E00057780,20.14925373,8.10,7.92,0.00,0.00,12.69,0.00
E00057781,16.12903226,10.07,13.46,0.69,0.00,12.10,2.08
E00057782,23.96694215,7.39,6.61,0.00,0.00,11.57,0.85
E00057783,20,10.66,5.38,0.58,0.00,14.81,0.00
E00057784,20.61068702,7.65,12.68,0.00,0.00,6.11,0.31
E00057785,14.17910448,16.86,14.77,3.43,10.00,5.97,0.29
E00057786,11.02362205,12.70,15.49,0.33,0.00,7.87,0.00
E00057787,12.26993865,28.69,5.81,6.76,25.41,9.82,1.64
E00057788,21.71052632,9.06,3.74,0.00,0.00,11.18,1.29
E00057789,8.125,11.67,11.54,0.00,0.00,12.50,1.56
E00057790,7.692307692,2.62,5.79,0.00,0.00,8.79,4.19
E00057791,11.88811189,16.72,8.82,0.35,0.00,6.99,0.00
E00057792,3.90625,4.63,13.64,0.00,0.00,1.56,0.36
E00057793,15.65217391,16.74,8.25,0.00,0.00,7.83,1.26
E00057794,8.661417323,23.26,5.17,0.93,0.00,8.66,2.33
E00057795,5,5.14,10.70,0.00,0.00,2.14,0.00
E00057796,7.619047619,6.35,11.65,0.00,0.00,2.86,0.00
E00057797,10.37037037,10.66,15.23,0.63,0.00,5.19,1.25
E00057798,11.11111111,13.46,10.95,0.61,0.00,8.15,0.92
E00057799,13.33333333,7.65,9.00,1.02,0.00,7.78,1.02
E00057800,15.04424779,22.06,3.53,4.63,12.10,8.85,0.36
E00057801,4.545454545,9.75,11.11,1.08,0.00,7.58,1.81
E00057802,13.48314607,18.75,10.96,0.52,0.00,7.87,1.04
E00057803,28.43137255,9.77,12.36,0.78,0.00,7.84,0.00
E00057804,12.38938053,7.37,4.26,0.00,0.00,15.93,1.05
E00057805,22.93577982,10.20,4.72,0.00,0.00,9.17,0.99
E00057806,10.86956522,9.14,8.50,0.00,0.00,4.35,1.08
E00057807,5.263157895,27.78,6.06,0.69,0.00,16.67,1.39
E00057808,28.57142857,11.60,1.30,0.00,0.00,18.57,1.66
E00057809,8.080808081,10.26,8.04,0.00,0.00,12.12,6.15
E00057810,25.18518519,7.95,15.38,0.85,0.00,11.11,0.28
E00057811,12.57861635,11.01,14.09,0.00,0.00,13.84,0.63
E00057812,2.608695652,10.59,10.74,0.39,0.00,0.87,0.78
E00057813,4,10.75,17.57,0.00,0.00,4.80,0.00
E00057814,12.03007519,10.47,10.77,0.00,0.00,6.02,0.29
E00057815,4.285714286,7.97,11.56,0.33,0.00,3.57,0.66
E00057816,24.56140351,8.74,6.54,0.65,0.00,8.77,0.65
E00057817,13.13868613,8.15,5.43,0.37,0.00,6.57,1.11
E00057818,7.8125,11.30,8.55,0.43,0.00,8.59,0.00
E00057819,18.75,9.85,6.99,0.00,0.00,8.59,1.49
E00057820,14.04958678,16.94,6.73,1.65,0.00,8.26,0.00
E00057821,8.59375,13.17,13.76,0.00,0.00,9.38,0.00
E00057822,14.92537313,12.30,6.15,0.65,0.00,11.94,0.65
E00057823,11.51079137,12.84,8.77,0.34,0.00,9.35,0.34
E00057824,7.142857143,16.72,11.67,1.02,0.00,8.73,0.68
E00057825,13.25301205,17.94,8.46,1.32,10.29,6.63,3.69
E00057826,6.194690265,2.79,2.65,0.00,0.00,6.19,2.33
E00057827,14.9122807,12.27,6.02,0.74,0.00,13.16,1.12
E00057828,14.04958678,12.68,5.66,0.36,0.00,12.40,0.36
E00057829,13.88888889,13.57,14.81,0.45,0.00,12.04,1.81
E00057830,9.574468085,20.32,12.70,0.53,0.00,9.57,1.07
E00057831,16.23931624,16.18,11.63,0.00,0.00,11.11,0.74
E00057832,8.75,8.81,3.28,0.00,0.00,24.38,1.52
E00057833,11.19402985,3.53,2.92,0.50,0.00,29.85,4.03
E00057834,20.94594595,13.64,6.60,0.65,0.00,5.41,1.30
E00057835,12.5984252,11.88,6.85,0.63,0.00,3.94,3.13
E00057838,11.45038168,4.64,5.77,0.33,0.00,7.63,0.99
E00057839,1.960784314,9.21,3.57,2.22,0.00,3.27,2.54
E00057840,2.985074627,12.67,4.14,0.00,0.00,8.96,0.67
E00057841,12.12121212,13.33,8.53,0.67,0.00,16.67,4.00
E00057842,5.035971223,1.50,1.05,0.00,0.00,10.07,0.38
E00057843,2.597402597,12.24,3.31,0.58,7.00,9.74,2.04
E00057844,1.550387597,8.54,9.68,0.32,0.00,3.88,1.27
E00057845,2.836879433,4.04,3.03,0.00,0.00,14.18,0.00
E00057846,0.854700855,3.69,5.29,0.34,0.00,5.98,0.00
E00057847,2.631578947,7.83,5.84,0.00,0.00,3.51,1.78
E00057848,5.042016807,3.10,3.23,0.00,0.00,15.13,1.38
E00057849,4.273504274,13.11,1.03,2.74,6.10,27.35,2.44
E00057850,2.919708029,4.90,1.16,0.00,0.00,12.41,1.22
E00057851,0.649350649,3.93,1.91,0.36,0.00,7.14,1.43
E00057852,2.142857143,3.43,2.48,0.26,0.00,17.14,1.85
E00057853,7.207207207,20.87,4.17,0.97,0.00,6.31,2.91
E00057854,3.355704698,7.16,0.54,0.86,0.00,24.16,2.01
E00057855,8.695652174,3.39,3.82,0.00,0.00,18.12,4.17
E00057856,6.040268456,14.29,6.09,1.54,6.56,38.26,0.39
E00057857,5.384615385,4.21,2.97,0.00,0.00,22.31,3.45
E00057858,10.23622047,5.95,1.83,0.00,0.00,23.62,3.72
E00057859,4.166666667,6.83,1.68,0.23,0.00,13.89,5.24
E00057860,17.88617886,10.77,3.96,0.31,0.00,8.13,2.46
E00057861,11.62790698,12.02,7.14,0.39,0.00,8.53,0.78
E00057862,11.11111111,11.69,13.38,0.62,0.00,12.50,1.54
E00057863,7.352941176,10.68,6.32,0.97,0.00,9.56,0.49
E00057864,17.79661017,8.75,8.63,0.29,0.00,11.86,2.33
E00057865,11.67883212,8.62,6.60,0.00,0.00,10.22,1.38
E00057866,17.39130435,11.18,6.20,0.29,0.00,8.70,0.59
E00057867,6.617647059,9.29,6.54,0.93,0.62,7.35,1.86
E00057868,4.62962963,6.38,6.90,0.00,0.00,1.85,0.85
E00057869,15.97222222,4.70,1.65,0.00,0.00,11.81,3.45
E00057871,5.93220339,6.12,10.78,0.68,0.00,2.54,0.00
E00057872,0,7.66,8.00,0.00,0.00,1.00,1.80
E00057873,2.43902439,4.56,5.59,0.00,0.00,16.26,0.00
E00057874,2.5,6.72,8.39,0.40,0.00,1.67,1.98
E00057875,13.55932203,11.63,7.24,0.83,4.71,11.86,2.22
E00057876,19.13580247,11.24,4.72,0.56,0.00,9.26,1.69
E00057877,22.54901961,10.60,4.82,0.92,0.00,13.73,0.92
E00057878,1.62601626,1.66,4.07,0.00,0.00,4.88,0.66
E00057879,0.495049505,7.76,2.60,2.01,0.00,30.20,0.00
E00057880,6.153846154,20.45,4.29,3.64,0.00,8.46,3.64
E00057881,3.90625,4.27,4.04,0.36,0.00,2.34,1.07
E00057882,1.652892562,0.81,2.46,0.00,0.00,9.92,0.40
E00057883,5.303030303,4.24,5.73,0.00,0.00,9.85,0.35
E00057884,4.379562044,4.85,5.88,0.32,0.00,5.84,0.97
E00057885,0.746268657,4.89,2.67,1.72,2.30,11.19,2.30
E00057887,11.11111111,5.26,2.55,0.22,0.00,23.81,8.33
E00057888,8.256880734,21.29,0.00,0.65,0.00,19.27,0.00
E00057889,1.459854015,11.85,8.23,0.87,0.00,4.38,4.05
E00057891,2.962962963,2.46,4.29,0.25,0.00,11.85,0.25
E00057892,5.34351145,3.85,1.71,0.00,0.00,19.85,0.96
E00057893,6.363636364,7.02,4.70,0.67,0.00,6.36,2.68
E00057894,3.676470588,1.84,1.83,0.46,0.00,16.18,1.38
E00057895,11.76470588,8.76,6.02,0.52,0.00,14.71,2.58
E00057896,3.80952381,5.08,0.72,0.00,0.00,20.00,1.95
E00057897,10.25641026,6.57,5.36,0.00,0.00,10.26,0.00
E00057898,7.575757576,3.96,1.51,0.00,0.00,25.00,1.83
E00057899,9.219858156,5.08,5.92,1.02,0.00,6.38,0.68
E00057900,3.333333333,1.14,2.22,0.38,0.00,10.83,1.52
E00057901,6.349206349,4.24,3.16,0.00,0.00,5.56,2.12
E00057902,4.895104895,3.25,9.29,0.00,0.00,2.10,1.36
E00057903,21.53846154,9.42,0.83,0.00,0.00,8.46,0.65
E00057904,15.03759398,8.33,9.35,0.67,0.00,9.77,1.33
E00057905,1.459854015,13.52,13.38,3.46,5.66,2.92,0.00
E00057906,12.38938053,7.79,10.71,0.00,0.00,3.54,1.64
E00057907,16.94915254,6.90,7.48,0.34,0.00,10.17,1.38
E00057908,17.9245283,5.49,8.20,0.00,0.00,12.26,1.10
E00057909,7.246376812,11.56,10.13,0.31,0.00,6.52,0.31
E00057911,8.870967742,4.17,7.37,0.32,3.21,2.42,0.00
E00057913,21.48760331,7.17,6.60,0.72,0.00,14.05,2.87
E00057914,9.090909091,16.79,7.84,0.75,0.00,8.39,0.00
E00057916,12.5,11.55,6.72,0.36,0.00,2.34,2.53
E00057917,8.292682927,21.07,4.93,1.21,0.00,7.32,0.24
E00057918,6.956521739,3.49,11.66,0.00,0.00,2.61,1.16
E00057919,20.68965517,11.76,9.57,0.00,0.00,10.34,0.33
E00057920,14.0625,7.21,7.89,0.00,0.00,11.72,1.80
E00057921,12.71186441,12.37,14.85,0.00,4.12,6.78,0.34
E00057922,13.82978723,7.77,10.71,0.97,0.00,8.51,0.49
E00057923,27.5,3.66,9.17,0.00,0.00,10.83,3.05
E00057924,10.2189781,8.22,12.03,0.66,0.00,6.57,0.99
E00057925,7.56302521,5.05,6.43,0.72,0.00,1.68,0.36
E00057926,11.11111111,15.09,15.94,0.31,0.00,8.33,0.00
E00057927,3.472222222,8.14,12.78,0.68,0.00,4.86,0.00
E00057928,12.41830065,7.95,11.64,0.66,0.00,6.54,0.99
E00057929,4.964539007,6.00,9.68,0.00,0.00,4.26,0.57
E00057932,5.405405405,10.10,21.28,0.65,2.28,1.35,0.98
E00057933,15.96638655,12.61,8.16,0.00,0.00,10.08,0.87
E00057934,6.153846154,10.96,13.93,0.00,0.00,7.69,0.00
E00057935,12.41830065,14.01,12.74,0.55,0.00,7.84,0.82
E00057936,18.75,10.44,8.77,0.67,0.00,7.14,0.00
E00057937,4.929577465,5.02,9.45,0.00,0.00,2.82,0.94
E00057938,20.8,16.72,10.42,0.33,1.31,8.80,0.33
E00057939,8.695652174,8.36,9.42,0.56,1.11,9.94,1.39
E00057940,4.098360656,1.70,8.07,0.00,0.00,0.00,0.28
E00057941,7.936507937,2.57,6.56,0.00,0.00,3.17,0.00
E00057942,12.72727273,12.95,9.26,0.36,0.00,14.55,1.08
E00057943,18.27956989,13.50,5.00,0.42,0.00,10.75,0.42
E00057944,14.17322835,5.65,7.19,0.33,0.00,4.72,4.98
E00057945,4.87804878,27.98,9.09,4.17,10.71,4.88,0.00
E00057946,25.56390977,7.46,7.38,0.00,0.00,9.02,1.93
E00057947,10.89108911,9.70,9.38,0.84,0.00,5.94,0.84
E00057949,17.0212766,11.62,4.35,0.00,0.00,11.70,7.88
E00057950,6.832298137,2.82,7.79,0.00,0.00,2.48,1.28
E00057951,25.83333333,7.87,5.15,0.28,0.00,10.83,0.56
E00057952,14.28571429,15.65,8.57,0.87,0.00,8.16,0.87
E00057955,6.569343066,7.17,10.76,0.72,0.00,2.19,0.00
E00057956,22.65625,7.62,5.41,0.00,0.00,14.06,0.32
E00057957,11.96581197,2.92,9.73,0.00,0.00,3.42,0.32
E00057959,12.28070175,11.11,11.02,0.32,0.00,5.26,0.63
E00057960,9.81595092,7.32,16.19,0.24,0.00,6.75,0.00
E00057961,7.058823529,5.09,10.66,0.00,0.00,4.12,0.00
E00057962,5.084745763,5.63,7.69,0.33,0.00,0.00,0.00
E00057963,11.9047619,8.58,9.03,0.00,0.00,3.97,0.00
E00057965,11.60220994,4.26,12.23,0.50,0.00,9.39,0.00
E00057966,14.61538462,11.07,9.33,0.67,0.00,4.62,0.00
E00057967,4.504504505,14.29,7.14,0.46,0.00,1.80,0.00
E00057968,5.357142857,6.72,11.76,0.00,0.00,0.89,0.00
E00057969,7.272727273,4.74,10.40,0.36,0.00,1.82,0.36
E00057970,6.741573034,6.52,12.70,0.00,5.22,2.25,0.87
