OA,Households_occupied_by_a_lone_parent_and_children,Persons_who_report_poor_health_Limiting_long-term_illness,Employed_persons_aged_ between_16_and_74_who_work_in_the_mining/quarrying/construction_industries,Person_aged_90_and_over,Persons_living_in_a_communal_establishment,Households_who_have_one_fewer_or_less_rooms_than_required,Persons_whose_main_language_is_not_English_and_they_cannot_speak_English_well_or_at all
E00056912,6.060606061,7.62,10.99,0.95,0.00,4.55,1.59
E00056913,3.703703704,5.67,7.30,0.00,0.00,1.48,0.00
E00056914,9.923664122,10.54,5.84,0.00,0.00,2.29,0.00
E00056915,5.691056911,5.84,7.91,0.65,0.00,2.44,0.00
E00056916,9.183673469,23.64,6.82,3.03,0.00,24.49,0.00
E00056917,1.6,5.16,9.38,0.00,0.00,0.80,0.32
E00056918,5.882352941,8.12,8.02,0.00,0.00,2.94,0.56
E00056919,0,10.89,13.21,0.40,0.00,0.00,0.40
E00056920,2.777777778,8.42,8.29,0.27,0.00,3.47,0.00
E00056921,3.703703704,3.88,10.62,0.00,0.00,2.96,0.00
E00056922,6.451612903,12.41,6.21,0.35,0.00,2.42,0.00
E00056923,2.362204724,11.30,10.00,0.34,0.00,1.57,0.00
E00056924,6.25,9.97,12.93,0.32,0.00,6.25,0.00
E00056925,17.07317073,5.26,11.84,0.33,0.00,6.50,0.00
E00056926,16.10169492,19.73,9.38,2.69,0.00,7.63,0.90
E00056927,6.790123457,4.91,12.61,0.52,0.00,3.70,0.00
E00056928,1.639344262,18.85,22.83,2.69,6.92,0.00,0.00
E00056929,3.703703704,9.84,9.72,0.33,0.00,0.00,0.00
E00056930,14.63414634,15.64,9.40,0.73,0.00,6.50,0.36
E00056931,2.459016393,4.97,10.11,0.00,0.00,1.64,0.00
E00056932,4.132231405,6.69,14.20,3.01,5.69,0.00,0.33
E00056933,5.6,10.51,6.17,0.00,0.00,0.80,0.72
E00056934,9.821428571,7.29,11.97,0.40,0.00,6.25,0.00
E00056935,8.910891089,8.89,15.45,0.00,0.00,3.96,0.00
E00056936,4.201680672,8.68,9.22,0.00,0.00,5.04,0.00
E00056937,4.87804878,16.88,13.04,3.75,0.00,42.68,0.00
E00056938,11.11111111,10.16,7.28,0.00,0.00,4.76,0.33
E00056939,10.48951049,4.03,11.76,0.29,0.00,0.70,0.00
E00056940,3.2,7.77,12.14,1.29,0.00,2.40,0.00
E00056941,5.769230769,14.07,9.45,0.25,0.00,3.85,0.00
E00056942,2.941176471,4.85,12.02,0.30,0.00,2.21,0.00
E00056943,6.766917293,4.60,9.34,0.00,0.00,0.75,0.00
E00056944,2.479338843,13.45,8.74,2.10,0.00,0.00,0.42
E00056945,9.821428571,10.25,12.03,1.06,0.00,7.14,0.00
